feature_name,feat_w_ela_net_coeff
"72,xCell:Erythrocytes_BLUEPRINT_2",0.8280980406263643
"37,ZHAN_V1_LATE_DIFFERENTIATION_GENES_UP",0.6607438266293196
"5,xCell:Erythrocytes_FANTOM_3",0.5786911702749559
"99,ZHAN_V1_LATE_DIFFERENTIATION_GENES_UP",0.5587180884523749
"36,XU_AKT1_TARGETS_6HR",0.4810909287384528
"12,REACTOME_AMYLOIDS",0.46432327031967324
"89,PID_IL6_7PATHWAY",0.43836732550510893
"3,TIEN_INTESTINE_PROBIOTICS_2HR_UP",0.43488117141335614
"82,LIANG_SILENCED_BY_METHYLATION_2",0.42136619218941496
"69,CHAUHAN_RESPONSE_TO_METHOXYESTRADIOL_DN",0.3826740402664672
"4,CAVARD_LIVER_CANCER_MALIGNANT_VS_BENIGN",0.38102098165083337
"24,GSE34205_RSV_VS_FLU_INF_INFANT_PBMC_UP",0.3448440091287604
"32,GSE22886_NAIVE_BCELL_VS_NEUTROPHIL_DN",0.32945901005266853
"31,COLLIS_PRKDC_SUBSTRATES",0.31365499378213585
"75,MIPS_RIBOSOME_CYTOPLASMIC",0.2958805690770772
"74,MIPS_40S_RIBOSOMAL_SUBUNIT_CYTOPLASMIC",0.28953073013221586
"110,VANHARANTA_UTERINE_FIBROID_WITH_7Q_DELETION_DN",0.2682941233145366
"42,xCell:Neutrophils_BLUEPRINT_1",0.2631275226082484
"85,JAATINEN_HEMATOPOIETIC_STEM_CELL_DN",0.2554919714065091
"104,MARTINELLI_IMMATURE_NEUTROPHIL_UP",0.24989180033903807
"92,xCell:Neutrophils_BLUEPRINT_1",0.2347275377361366
"48,TIEN_INTESTINE_PROBIOTICS_6HR_UP",0.23197634088792377
"115,JAATINEN_HEMATOPOIETIC_STEM_CELL_DN",0.22563579101291004
"46,TANG_SENESCENCE_TP53_TARGETS_UP",0.22411313496302057
"107,xCell:CLP_BLUEPRINT_3",0.21217715569191972
"6,DAZARD_UV_RESPONSE_CLUSTER_G3",0.20833427840667762
"20,GNATENKO_PLATELET_SIGNATURE",0.19894769415548957
"106,KUROZUMI_RESPONSE_TO_ONCOCYTIC_VIRUS_AND_CYCLIC_RGD",0.1884610251926008
"21,GNATENKO_PLATELET_SIGNATURE",0.17786573956313814
"93,MIPS_60S_RIBOSOMAL_SUBUNIT_CYTOPLASMIC",0.16374008411569205
"14,MACLACHLAN_BRCA1_TARGETS_DN",0.153922693608035
"19,REACTOME_AMYLOIDS",0.14792350242211985
"39,CHAN_INTERFERON_PRODUCING_DENDRITIC_CELL",0.14754082326026
"29,DIRMEIER_LMP1_RESPONSE_LATE_DN",0.12969812397087707
"13,REACTOME_PEPTIDE_CHAIN_ELONGATION",0.12946117238633942
"95,MIPS_RIBOSOME_CYTOPLASMIC",0.12266738338105122
"90,NGO_MALIGNANT_GLIOMA_1P_LOH",0.12008257532167586
"70,HECKER_IFNB1_TARGETS",0.11559825795107434
"73,SVM T cells CD4 memory resting",0.11514134764846774
"101,MARSON_FOXP3_TARGETS_STIMULATED_DN",0.11347766090782721
"30,JAATINEN_HEMATOPOIETIC_STEM_CELL_DN",0.10713077052365434
"26,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING",0.10663620326118323
"79,MIPS_40S_RIBOSOMAL_SUBUNIT_CYTOPLASMIC",0.08358695788775694
"98,SVM Monocytes",0.08303254985554587
"41,GSE22886_NAIVE_BCELL_VS_NEUTROPHIL_DN",0.0729321087305342
"53,GSE22886_NAIVE_BCELL_VS_NEUTROPHIL_DN",0.07215084397685617
"51,VANASSE_BCL2_TARGETS_UP",0.04043389570419638
"18,MISHRA_CARCINOMA_ASSOCIATED_FIBROBLAST_UP",0.039663632788462834
"55,GNATENKO_PLATELET_SIGNATURE",0.03659233415223611
"54,REACTOME_PEPTIDE_CHAIN_ELONGATION",0.03335221416206166
"61,REACTOME_3_UTR_MEDIATED_TRANSLATIONAL_REGULATION",0.029104600846186244
"63,JAATINEN_HEMATOPOIETIC_STEM_CELL_DN",0.025778941061890194
"96,MIPS_40S_RIBOSOMAL_SUBUNIT_CYTOPLASMIC",0.022999521810688036
"97,JAATINEN_HEMATOPOIETIC_STEM_CELL_DN",0.012468081084337793
"23,BENNETT_SYSTEMIC_LUPUS_ERYTHEMATOSUS",0.005815376316679685
"7,GNATENKO_PLATELET_SIGNATURE",0.0024012904870591373
